Date,Proximity to Station,Station,Item Burnt,Comments,Fire Severity
3/11/2008,S,Flushing Main St,DEBRIS,2108 T/I SPINDLER(TRK): REPORTS THAT THERE WAS A SMALL DEBRIS FIRE AT COL #486+10 THAT HAD BEEN EXTINGUISHED WITH WATER. TRACK IS SAFE FOR SERVICE. MOW NOTIFIED RTO.,1
3/12/2008,I,138 St (IRT Grand Concourse),BANK OF LIGHTS - INCANDESCENT,"M/S-1 DAVIS-202864 (TRACK) WORKING G.O. ON TRACK J1, COLUMN 269+35 REPORTED THIS IS A SINGLE BANK OF LIGHTS.  HE DID NOT USE AN EXTINGUISHER, IT SELF EXTINGUISHED.",1
3/12/2008,S,1 Av,BANK OF LIGHTS - INCANDESCENT,M/S-1 DAVID-201820 (CN): THIS IS A SINGLE BANK BEING USED FOR EXPOSE THIRD RAIL AT Q1-114+50 AT THE END APPROACH. IT WAS EXTINGUISHED BY REMOVING IT WITH A PIECE OF WOOD.  ,1
3/12/2008,I,7 Av (Flatbush Av),DEBRIS,"1134 T/INSP MIRANDO #012378: INSPECTED BOTH TRKS 3 AND 4 AND DID NOT FIND ANY EVIDENCE OF A TRACK FIRE.
1156 M/S BARRIGAN (TRO) #043878: FOUND EVIDENCE OF A SMALL DEBRIS FIRE THAT WAS EXTINGUISHED WITH WATER BEHIND THE THIRD RAIL AT COL# 365+50 ON A3 TRK",1
3/12/2008,N,Jackson Hts-Roosevelt Av,DEBRIS,"2158 M/S WELLS #949241 (TK): LIGHT DEBRIS BURNING BEHIND THE 3RD RAIL AT COL. #1413+45 ON TRACK D2. NO TRACK DAMAGE, TRACK SAFE FOR SERVICE. FIRE EXT. BY T.A EMPLOYEE WITH WATER. MOW NOTIFIED RTO.
2307 PDM POWELL(TRO): FOUND ASHES 600 FEET N/O THE STATIO",1
3/13/2008,S,42 St-Bryant Pk (BMT 6 Av),DEBRIS,"1059 T/I BURTON (T6, ERT. PASS # 119680): REPORTED THE PAPER FIRE WAS EXTINGUISHED BY TSS WITH WATER ON TRACK B1 AT COLUMN 1048+15, THERE WAS NO DAMAGE TO ANY TRACK OR 3RD RAIL EQUIPMENT. TRACK IS SAFE FOR SERVICE.
1115 M/S-1 REUHL (TRO/N, PASS # 011019)",1
3/13/2008,S,Crown Heights-Utica Av (IRT),ELECTRICAL WIRE,"1930 ERT ROBINSON (TK) PASS # 753966  THERE WAS A CABLE BOX, 200 FEET N/O SIG # 3370, THAT HAD A SMALL CABLE BURNT, NO TRACK DEFECTS , NO DAMAGE, THIS WAS PUT OUT WITH CHEMICAL BY T.S.S. DIXON, ON ""M' TRACK. TRACK SAFE.
2008 M/S CHEN (TRO/SO) #147468: FO",1
3/14/2008,N,7 Av (Flatbush Av),DEBRIS,0805 ERT SOMMERVILLE #842748: FOUND RESIDUE FROM AN EXTINGUISHER THAT WAS USED AT COL# 363+50. THERE IS NO TRACK DAMAGE. THE AREA IS SAFE FOR SERVICE. MOW UPDATED RTO.,1
3/14/2008,I,Queensboro Plaza,DEBRIS,"1845 M/S LAPORTE(TK) #503636: FOUND EVIDENCE OF A SMALL PAPER FIRE AT STREET COL# 89 WHICH HE EXTINGUISHED WITH WATER. HE CHECKED TRACKS FROM SIG#1712 TO COL#83, TRAINS ARE PASSING THROUGH, TRACK IS SAFE FOR SERVICE.",1
3/15/2008,S,Times Sq-42 St (BMT),BANK OF LIGHTS - INCANDESCENT,Bank of lights,1
3/15/2008,I,High St-Bklyn Br,DEBRIS,"1351 ERT BURTON (TK), #119680 : THIS FIRE WAS AN ALUMINUM DEBRIS PLATE THAT WAS ARCING WITH THE THIRD RAIL INSULATOR AT A4-810+50. THERE WAS NO TRACK DAMAGE, THE AREA IS SAFE FOR SERVICE.
1440 MOW CALLED M/S FRACALOSSI (TRO/SO) FOR FEEDBACK, WHO REPORTED",1
3/16/2008,N,Washingtn Hts-168 St(Brdwy),BANK OF LIGHTS - INCANDESCENT,FOUND BURNT BULBS AT COL 1420+25 NO BANK.,1
3/16/2008,S,1 Av,BANK OF LIGHTS - INCANDESCENT,BAT 6 RESPONDED TO THE BANK OF LIGHTS BURNING ON Q1 TRK.STATION LIGHTING MS 1 UTSEY NOTIFIED.,1
3/16/2008,N,42 St-Bryant Pk (BMT 6 Av),DEBRIS,"1802 M/S FLORES (TK) #282521: THIS WAS HOMELESS CLOTHING/DEBRIS BURNING IN THE WIDE AREA AT COL. #1048+40 BETWEEN B2 AND B4 TRACKS NEAR TWO JUNCTION BOXES. STARTED TO PUT IT OUT USING DRY CHEMICAL. FD PERSONNEL RESPONDED AND SOAKED IT WITH WATER. 
1844 P",1
3/17/2008,N,Kosciusko St,DEBRIS,0138 TRACK INSPECTOR WILSON-970271: THE FIRE DEPARTMENT EXTINGUISHED DEBRIS IN THE CATCH BASKET AT THE NORTHEND IN THE STATION USING CHEMICAL (COL. 252+90).  THERE IS NO DAMAGE.,1
3/17/2008,N,181 St (IND Fort Wash. Av),DEBRIS,"0550 T/I BROWN 107854 (TK): INVESTIGATED.  FIRE UNFOUNDED, TRACKS SAFE FOR SERVICE.
0701 PDM JAMES (432314) : RESPONDED TO LOCATION , INSPECTED TRACKS AT COL 1462+55 FOUND EVIDENCE OF A BURNT PIECE OF METAL THAT BRIDGED THE 3RD RAIL AND RUNNING RAIL, NO ",1
3/17/2008,S,Grand St (Manhttn Chrystie St),DEBRIS,"RTO: THE 1714 ""B"" O/O BEDFORD REPORTED SMOKE CONDITION SOUTH OF THE STATION. SEQ.6 ASSIGNED, FD 187 NOTIFIED. TRAIN OPERATOR ON 1714 'B"" REPORTED GARBAGE BAG SMOKING  CLOSE TO SIGNAL B3-880. THE 1723 WILL BE USED AS A TAXI.  SOUTHBOUND ""D"" AND ""B""  SERVIC",1
3/18/2008,S,Utica Av (IND Fulton St.),DEBRIS,"RTO-B2: THE TRAIN OPERATOR ON THE 1623 ""A"" O/O 207 TH REPORTED A SMALL TRACK FIRE S/O THE STATION. THE TOWER OPERATOR REPORTED PAPER DEBRIS FIRE 50 FT S/O THE STATION BETWEEN A3 AND A4 TRACKS SELF EXTINGUISHED. FIRE BATTALION 44 RESPONDED AND LEFT THE SCE",1
3/19/2008,N,14 St (IND 8 Av),INSULATOR,"0300 MAGENHEIM (W4TH): SUPT LABANSKI (INFRA) HAS INSPECTED THE AREA AND WILL SCHEDULE THE GROUT TEAM TO MAKE REPAIRS TO WATER LEAKS.
0345 M/S ALEXANDER (TRO) 008079: REPLACED 2 FIBERGLASS INSULATOR AT  1015+70 ON A2  NORTH OF THE STATION. ALSO CLEANED TH",2
3/21/2008,I,Concourse Yard,DEBRIS,"0924 T/INSP McGUINNESS #585983: THIS WAS LEAVES AND OTHER DEBRIS THAT WAS ON FIRE ON THE WALKWAY, LOCATED BETWEENS TRKS 3 TO 8 BY SIGNAL X31. THERE WERE NO DAMAGE TO THE WALKWAY, THE FIRE WAS ALREADY EXTINGUISHED UPON ARRIVAL.",1
3/21/2008,N,111 St (IRT Roosevelt Av),TIE,FOUND A SCORCHED WALKTIE AT 25' SOUTH OF STREET COL #550 ON C2 TRACK THAT WAS PUT OUT WITH WATER BY FD. TRACK IS SAFE FOR SERVICE. ,1
3/21/2008,N,Kings Hwy (E16 St),DEBRIS,FOUND LEAVES BURNING IN THE SWITCH AREA OF SWITCH 511B CAUSED BY THE SWITCH HEATER. FIRE WAS SELF EXTINGUISHED. NO TRACK DAMAGE. TRACK IS SAFE FOR SERVICE.,1
3/22/2008,I,Steinway St,CABLE,"1543 T/I BUCKERY (TK) # 112739: INSPECTED THE AREA AND FOUND NO EVIDENCE OF FIRE. NO TRACK DAMAGE. TRACK IS SAFE FOR SERVICE.
2127 M/S LOLIER (TRO/NO) #532560: MADE TEMPORARY REPAIRS BY INSTALLING JUMPERS ON THE BURNT OUT TRANSPOSITION CABLES AT COL #131",2
3/22/2008,S,Crown Heights-Utica Av (IRT),VEGETATION,"1800 T/I ROBINSON (ERT) #753966: CONFIRMED FIRE. SELF EXTINGUISHED. TSS DIXON SPRAYED CHEMICAL ON IT TO PREVENT A FUTURE FLARE UP.
1832 PDM SANDY(TRO/SO)# 780029: FIRE DID NOT AFFECT THIRD RAIL EQUIPMENT. SAFE FOR SERVICE.",1
3/22/2008,N,Van Siclen Av (IRT Livonia Av),TIE, FOUND AN 8 FOOT 6 INCH TIE THAT WAS BURNT OUT ON ONE END AT 15 FEET SOUTH OF SIGNAL 4453 ON TRACK 4. FD PUT OUT THE BURNT TIE WITH FOAM.,2
3/22/2008,S,149 St-Grand Concourse,DEBRIS, RCI LANTSMAN FROM EDV 010 USED A JUG OF WATER TO EXTINGUISH PLASTIC ON FIRE UNDER THIRD RAIL.,1
3/24/2008,S,145 St (IND St. Nicholas Av),DEBRIS,RTO HOLLIMAN : 1220 'A' O/O FAR ROCK REPORTING SMOKE  SOUTH OF THE STATION BETWEEN A2 & C2 TRACKS IN THE SWITCH AREA. MOW TK CONFIRMED EVIDENCE OF PAPER DEBRIS BURNT ON C2 TRACK. NO DAMAGE.,1
3/25/2008,N,Hunters Pt Av,TIE,"03/26/2008
0030 PDM BENNETAL (TRO/N) 060278: FIRE LOCATED 15 FT N/O SIGNAL 1292, NO 3RD RAIL DAMAGE, 3RD RAIL EQUIPMENT SAFE FOR SERVICE.
0059 TRK/INSP BREA PASS #095952: FIRE WAS EXTINGUISHED BY AN RTO SUPERVISOR WITH AN EXTINGUISHER. WALK TIE WAS BURN",1
3/25/2008,S,Forest Hills-71 Av,DEBRIS,"0758 T/INSP LUNDY #541030: THIS WAS A SELF EXTINGUISHED DEBRIS FIRE IN THE SWITH AREA ON D3 TRK BY COL# 1567+50, THERE IS NO TRACK DAMAGE, THE AREA IS SAFE FOR SERVICE.
1100 MOW CALLED M/S ELLIS (S3) FOR FEEDBACK, WHO STATED SIGNAL MTR KHAN #470576 RESPO",1
3/25/2008,N,Washingtn Hts-168 St(Brdwy),DEBRIS,"0904 TENZYCKI (ERT): , #884880, SELF EXTINGUISHED DEBRIS FIRE IN THE AREA OF SIGNAL #1417 ON A3 CAUSED NO DAMAGE TO TRACK. A3 TRACK IS SAFE FOR SERVICE. THIS FIRE WAS EXTINGUISHED UPON ARRIVAL. TRAINS HAVE BEEN MOVING THROUGH THE AREA.
1025 M/S HAUGLAND ",1
3/25/2008,I,W 4 St (IND Wash Sq),DEBRIS,Debris on Roadbed,1
3/25/2008,I,Neptune Av,TIE,"2136 M/S LYNN (TRK): REPORTS THAT THE FIRE SCORCHED 1 13' WALK TIE AND 1 9' CROSSTIE. HE ALSO STATES THE THESE 2 TIES HAVE A SIGNAL BOX FOR B1330 MOUNTED ON THEM. THE FIRE HAD BEEN EXTINGUISHED WITH WATER. THE TRACK IS SAFE FOR SERVICE. MOW NOTIFIED RTO.
",1
3/25/2008,N,Prospect Park,DEBRIS,TRAIN OPERATOR ON THE FSS REPORTED A LARGE TK FIRE 500 FT S/O THE STATION ON O2 TRACK. SHUTTLE TRAIN DISCHARGED FOR TAXI. SUSPENDING SERVICE FROM PROSPECT PK TO FRANKLIN AVE.  M/S HANDLEY (TRO/S) REPORTED FIRE LOCATED BETWEEN COL'S 437+45 AND 436+32 (LEAV,1
3/26/2008,S,74 St-Broadway,TIE,"1852 M/S WELLS #949241 (TK): A CROSS TIE WAS BURNING 40FT S/O SIG #3074 C1TRACK. THE FIRE WAS EXTINGUISHED WITH WATER AND CHEMICAL. THE TRACK IS NOW SAFE FOR SERVICE. THE DAMAGE WILL BE REFERRED TO T1.
1937 M/S 2 ANICOWITZ (TRO/NO) ON THE SCENE.
1938 M/",1
3/27/2008,I,Knickerbocker Av,TIE,"1922 M/S GONZALEZ 327757 (TK): MTRS CHECKED M-1 TRACK AT COL #392+00. THEY FOUND  ONE SCORCHED TIE IN THE GAUGE. THERE WERE NO TRACK DAMAGE, WAS RAINING AT THE TIME UNKNOWN  HOW IT WAS EXTINGUISHED. TRACK IS SAFE FOR SERVICE. MOW NOTIFIED RTO",1
3/27/2008,I,Forest Av,DEBRIS,"FOUND EVIDENCE OF A DEBRIS FIRE ON M1 TRACK AT 125' S/O SIGNAL 336 ON THE FREE SHOE SIDE, WEST RAIL. FDNY PUT OUT THE FIRE WITH WATER. NO TRACK DAMAGE. TRACK IS SAFE FOR SERVICE. ",1
3/27/2008,N,Jamaica-179 St,DEBRIS,"2226 M/S-1 WELLS (T6, PASS # 949241): INSPECTED D7 TRACK FROM COLUMN 1773+40 TO 1781+00 AND FOUND NO EVIDENCE OF A FIRE. DID FIND AT COLUMN 1779+80 THAT AN EXTINGUISHER WAS USED IN THE AREA. NO TRACK DAMAGE NOR ANY BURNT DEBRIS IN THE AREA. TRACK SAFE FOR",1
3/28/2008,I,Central Av,DEBRIS,"0858 M/S JONES ( TRO/SO),448350: FOUND EVIDENCE OF AN OLD TIMBER THAT WAS BURNING AT COLUMN M1-341. THERE IS NO DAMAGE TO THIRD RAIL EQUIPMENT.
0955 TRK/INSP AMATO,012521: AN OLD PIECE OF WOOD WAS BURNING ON M1 TRACK, THIS WAS NOT A TIE. IT WAS REMOVED B",1
3/29/2008,I,Lexington Av / 59 St (BMT),DEBRIS,INSPECTED AND FOUND EVIDENCE OF A PAPER DEBRIS FIRE THAT LOOKS TO HAVE STARTED AT THE SOUTH END OF THE PLATFORM AND SOME OF THE BURNING PAPER DEBRIS WENT TO THE ROADBED ON TRACK G1 BY SIGNAL G1-35. FIRE WAS PUT OUT WITH WATER. NO TRACK DAMAGE. TRACK SAFE ,1
3/30/2008,N,121 St,TIE,"0850 T/I ENGLUND #256124: THERE IS EVIDENCE OF FIRE BEEN EXTINGUISHED ON J1-587 IT WAS A GUARD TIMBER. THERE IS NO DAMAGE TO THE TIE AND TRACK IS SAFE FOR SERVICE.
0857 RTO-B1: CORRECTION, FD DID NOT EXTINGUISHED THE FIRE, IT WAS EXTINGUISHED BY 2 TRACK ",1
3/30/2008,N,Ave U (BMT W 8 St),DEBRIS,"1634 M/S MITCHELL (TK) #613753: HE EXTINGUISHED PAPER DEBRIS FIRE WITH WATER APPROX. 700' FROM THE N/E OF THE STATION ON E2-TRACK, NO TRACK DAMAGE. TRACK IS SAFE FOR SERVICE,BUT THERE IS HEAVY DEBRIS IN THE AREA.",1
3/31/2008,S,Queens Plaza,DEBRIS,"812 T/I MALONE #553485: THERE IS EVIDENCE OF DEBRIS FIRE BEEN EXTINGUISHED WITH CHEMICAL AT COLUMN D3-1248+50. THERE IS NO DAMAGE TO TRACK AND TRACK IS SAFE FOR SERVICE.
0903 PDM STERLING (TRO/SO) #858055: THERE IS EVIDENCE OF FIRE BEEN EXTINGUISHED WITH",1
3/31/2008,S,111 St (IRT Roosevelt Av),TIE,"THE 1134 ""7"" O/O TIMES SQUARE REPORTED HIGH SMOKE CROSS TIES BURNING ON C2 TRACK S/O THE STATION BY HOME SIGNAL X616. T/I GASKE REPORTED 2O FT FROM HOME SIGNAL X616 ON C2 TRACK A SMOLDERING TIE PUT OUT BY F/D FROM STREET LEVEL. THERE IS NO DAMAGE TO THE T",1
3/31/2008,S,33 St (Queens Blvd),CABLE,"RTO-B1: THE 1214 ""7"" O/O TSQ TO MAIN STREET REPORTS S/O THE STATION TRACK WORKERS REPORT A TRACK FIRE. F/D 706 AND SEQUENCE #7.
1308 RTO LOWCHY : TSS MENDEZ REPORTS A GROUNDED CABLE& CLAMP TO A TRACK PLATE ON C2 TRK 10 ' NORTH OF SIGNAL # 1953. MOW M/S B",1
3/31/2008,I,Euclid Av,DEBRIS,RTO-B2: TRAIN DISPATCHER REPORTED PAPER FIRE ON A3 TRACK 10' FROM SIGNAL A3-427. THE FIRE EXTINGUISHED BY  T/D. MOW TK CONFIRMED PAPER DEBRIS BURNT NO TRACK DAMAGE.,1
3/31/2008,S,Pelham Bay Pk,TIE,"POLICE REPORTOF A STREET FIRE, AT 3221 WESTCHESTER AVE. FIRE DEPT RESPONDED AND EXTINGUISHED A TIE FIRE. MOW TK  AND 3RD RAIL PERSONNL CONFIRMED GUARD TIMBER BURNT. WILL BE REPLACED AT A LATER DATE. MOW TRACK PERSONNEL REPORTED 3RD RAIL ARC STARTED FIRE N",1
4/1/2008,N,25 St (4 Av),INSULATOR,"1925 T/I SANNINO (T6, ERT, PASS # 781714) CHECKED FROM COLUMN 442+00 TO 434+00 SPARKS UNFOUNDED. AREA IS WET.
2018 M/S-1 CHEN (TRO/S) IS REMOVING ARCING INSULATORS AT COLUMN 438+00 AND 437+55. F2 TRACK. POWER WAS REMOVED AT 2017 HOURS. ""R"" TRAINS TEMPORA",1
4/1/2008,N,5 Av / 59 St,INSULATOR,ARCING INSULATOR CAUSED BY WATER DRIPPING ONTO IT.,2
4/2/2008,I,7 Av (9 St Brooklyn),INSULATOR,"REPLACED BURNING INSULATOR AT B2-658+00 DUE TO WATER DRIPPING FROM OVERHEAD VENT, DOWN THE WALL CAUSING AREA AROUND INSULATOR TO BE WET",2
4/2/2008,I,168 St-Washington Heights,DEBRIS,"2221 WILLIAMS (TK #369250): USED WATER TO PUT OUT A SMOLDERING PAPER DEBRIS FIRE ON THE N/B TK IN THE TK BALLAST AT SURVEY MARKER 190+35. NO DAMAGE TO THE TRACK.
2234 BENNETT (PDM 060270): EVIDENCE OF FIRE UNDER RUNNING RAIL BY 155A SWITCH. EXTINGUISHED ",1
4/2/2008,N,Forest Hills-71 Av,DEBRIS,Debris on Roadbed,1
4/3/2008,N,Prince St,TIE,"M/S PRASUAD 694217 (TRO/S): EXTINGUISHED TIE AND DEBRIS WITH WATER.  NO DAMAGE TO THIRD RAIL EQUIPMENT, SAFE FOR SERVICE.",1
4/3/2008,I,145 St (IRT Lenox Av),BANK OF LIGHTS - INCANDESCENT,M.S-1 JOHN EXTINGUISHED.,1
4/4/2008,S,High St-Bklyn Br,DEBRIS,"1054 M/S RUSSO (TRO/SO) #771854: THERE IS EVIDENCE OF FIRE BEEN PUTOUT OF GREASE RAG AT THE S/O END ON A3 TRACK BY COLUMN 812+00. INSPECTED THE AREA 300 FT N/O AND S/O AND ALL THIRD RAIL EQUIPMENT IS SAFE FOR SERVICE.
1109 T/I SOMMERVILLE # 842748 : UPON",1
4/4/2008,S,Dekalb Av (Flatbush),PORCELAIN INSULATOR,M/S SIMON (TRO) 825481: A SMOKING PORCELAN INSULATOR WAS REPLACED WITH A FIBERGLASS ONE AT F1-314+70 S/STATION. TRACK SAFE FOR SERVICE. MOW NOTIFIED SME SIMON (PITKIN YD) AND RTO,1
4/4/2008,I,Fulton St (IRT William St),DEBRIS, ERT ROSSITO (TK) #764765: WALKER CAME IN CONTACT WITH THE SHOE OF THE TRAIN AT COL #198+60 ON K2 TRACK. FD PUT OUT THE FIRE WITH WATER AND TRACK PERSONNEL REMOVED AND DISPOSED OF THE BURNT DEBRIS FROM THIS FIRE. NO TRACK DAMAGE. TRACK IS SAFE FOR SERVICE,1
4/4/2008,S,Jay St-MetroTech (BMT),DEBRIS,TRK/INSP JOSEPH#451264(TK): FOUND EVIDENCE OF BURNT DEBRIS EXTINGUISHED WITH WATER ON THE BENCHWALL AT COL#B1-342+85. TRACK SAFE.,1
4/6/2008,N,Parsons Blvd,DEBRIS," M/S WELLS #949241 (TK); THERE WAS DEBRIS STILL SMOTHERING UNDER THE CONTACT RAIL AT COL. #1716+60. PULLED DEBRIS OUT WITH SHOVEL AND EXTINGUISHED WITH WATER. THERE IS NO TK OR 3RD RAIL DAMAGE, AREA SAFE FOR SERVICE. MOW UPDATED M/S GOMEZ (TRO/NO) OF M/S ",1
4/7/2008,I,Northern Blvd,BANK OF LIGHTS - INCANDESCENT,LIGHTING MAINT.MS I UTSEY WAS NOTIFIED REGARDING THIS BANK OF LIGHTS ON FIRE.,1
4/7/2008,I,Whitehall St-South Ferry,DEBRIS,"RTO: TRAIN DISPATCHER MOY REPORTS IN THE STATION LIMITS A SMALL TRACK FIRE ON B3/4 TRACK, HE PUT IT OUT NEAR THE 3 RD RAIL (DEBRIS) SEQUENCE # 11, F.D # 116 NOTIFIED.
1939 RTO: DISPATCHER REPORTS THIS FIRE (ALUMINUM PAN) WAS AT COL # 260 + 00 B/3/4 TRACK",1
4/8/2008,S,137-City Collge,DEBRIS,"1333 ERT TENZYCKI 884880: PAPER DEBRIS FIRE WAS ON TRACK 4 BY SW 5B, NOT IN THE SWITCH AREA. IT WAS EXTINGUISHED WITH DRY CHEMICAL. SAFE FOR SERVICE.",1
4/8/2008,N,World Trade Center,DEBRIS,"RTO TRAIN OPERATOR ON THE 1648 ""E"" O/O PARSONS REPORTS A SMALL TRACK FIRE ON A1 TRACK N/O THE STATION.
MOW TRACK CONFIRMED PAPER DEBRIS FIRE IN DIAMOND AREA OF SWITCH, EXTINGUISHED BY F.D. SIGNAL MTR CHECKED DID NOT FIND ANY VISUAL EVIDENCE OF A FIRE THO",1
4/9/2008,S,125 St (IRT Lexington Av),DEBRIS,"RTO-A: AT 1240 HRS, THE TRAIN OPERATOR OF THE 1204 #4 O/O WOODLAWN REPORTS  A TRACK FIRE ON TRACK #2 SOUTH OF THE STATION. SEQUENCE #2 HAS BEEN ASSIGNED AND F/D 86 HAS BEEN NOTIFIED.
1248 RTO-A: IT IS REPORTED THE FIRE UNDER THE THIRD RAIL. REQUESTING ET",1
4/9/2008,S,W 4 St (IND Wash Sq),DEBRIS,"2219 PDM BENETT (TRO): ON ARRIVAL FOUND A TRACK FIRE EXTINGUISHED WITH CHEMICAL ON BY A2-962+05, THIRD RAIL SAFE FOR SERVICE.
2228 ERT ROSSITTO 764278: TSS EXTINGUISHED A PAPER FIRE BY CL A2-962+00 WITH CHEMICAL IN THE SWITCH AREA. TRACK SAFE FOR SERVICE",1
4/11/2008,N,59 St (IRT Lex. Av),INSULATOR,1204 M/S HAUGHLAND (TRO/NO) #373865: REPLACE ONE 6 INCH FIBER GLASS INSULATOR WITH A PORCELAIN INSULATOR. THERE IS A WATER DRIPPING FROM THE CEILING ON TRACK 2 AT COLUMN 75+70. MOW UPDATED PAA JONELLE (W4) AND TICKET #304514.,1
4/11/2008,N,169 St,DEBRIS,"0837 T/I GURECKI #348640: THERE IS EVIDENCE OF  A DEBRIS FIRE IN THE SWITCH AREA EXTINGUISHED WITH DRY CHEMICAL ON D3 TRACK BY COLUMN 1747+50. THERE IS NO DAMAGE TO TRACK AND IS SAFE FOR SERVICE.
1219 M/S BINDA ( S3) # 070285: NO SIGNAL EQUIPMENT AFFECTE",1
4/15/2008,S,Church Av (IND McDonald),DEBRIS,DEBRIS FIRE WAS EXTINGUSHED WITH WATER. NO DAMAGE. SAFE FOR SERVICE.,1
4/15/2008,S,Crown Heights-Utica Av (IRT),VEGETATION,THE TRAIN OPERATOR ON THE 1405 #3 O/O LENOX REPORTED A LOW FLAME TRACK FIRE S/O THE STATION ON TK-M JUST OUTSIDE THE PORTAL AREA. ,1
4/15/2008,I,Ave H,VEGETATION,"RTO-B1: THE 1647 ""Q"" O/O 57 TH REPORTED A TRACK FIRE 150 FT INTO THE STATION UNDER THE 3RD RAIL ON A1 TK. MOW TK CONFIRMED DRIED LEAVES BURNT, NO DAMAGE. MOW 3RD RAIL REPORTED EVIDENCE OF FIRE EXTINGUISHED, NO DAMAGE TO EQUIPMENT.",1
4/16/2008,N,Wakefield-241 St,TIE,Tie,1
4/16/2008,S,62 St,TIE,"1630  M/S BESSASSAR #066813 (S5): MTRS INVESTIGATED  AND REPORTED THERE WAS NO SIGNALS ENVOLVED AND NO DAMAGE TO SIGNAL EQUIPMENT.
1633 M/S TURNS (T3) 908762: FD EXTINGUISHED THE TIE FIRE WITH WATER ON TK-D1 BY STREET CL D150A WHICH WAS NOT IN THE SWITCH",1
4/16/2008,N,High St-Bklyn Br,DEBRIS,"1850 SUPT. MITCHELL (TK) 613062: THERE WAS DEBRIS BURNING BEHIND THE 3RD RAIL WHICH CAUSED THE FIBERGLASS BOARD TO BURN AT MARKER A4-827+50 WHICH WAS EXTINGUISHED BY THE FD WITH WATER. TRACK SAFE FOR SERVICE.
1959 M/S CAMP (TRO) 127560: DEBRIS CAUSED THE",1
4/17/2008,I,Jamaica Yard,DEBRIS,Debris,1
4/17/2008,N,Dyckman St (IRT),TIE,FOUND A SCORCHED WALK TIE AND SCORCHED GUARD TIMBER BY SIGNAL 2794 ON TRACK 1. FIRE WAS PUT OUT WITH WATER. DAMAGE IS MINIMAL. TRACK IS SAFE FOR SERVICE. ,1
4/17/2008,I,14 St-Union Sq (BMT Upper Lev),DEBRIS,"1959 ERT KROPF (TK) #491003: FOUND THAT AN ALUMINUM FOIL WRAPPER BRIDGED THE THIRD RAIL AT COL #114+90 ON A2 TRACK IN THE STATION AREA. TSS VASQUEZ PUT OUT THE FIRE WITH A CHEMICAL EXTINGUISHER. NO TRACK DAMAGE. TRACK SAFE FOR SERVICE.
2008 PDM CUTLER (T",1
4/18/2008,I,Mets-Willets Point,DEBRIS,M/S FREDERICK (TK) #292424 RESPONDED AND FOUND EVIDENCE OF A DEBRIS FIRE BY SIGNAL 4483 ON THE FREE SHOE SIDE THAT WAS EXTINGUISHED WITH WATER AT THE NORTH END OF THE NORTH BOUND TRACK IN THE STATION AREA. NO TRACK DAMAGE. TRACK IS SAFE FOR SERVICE. ,1
4/19/2008,I,6 Av,DEBRIS,ALUMINUM CAN BY CONTACT RAIL EXTINGUISHED BY F/D NO DAMAGE,1
4/20/2008,N,Spring St (IND 6 Av.),DEBRIS,Debris on Roadbed,1
4/21/2008,N,Nevins St,DEBRIS,Debris on Roadbed,2
4/21/2008,I,New Utrecht Av,DEBRIS,Debris on Roadbed,2
4/22/2008,N,Kings Hwy (E16 St),TIE,Tie,2
4/22/2008,N,Washingtn Hts-168 St(Brdwy),BANK OF LIGHTS - INCANDESCENT,"TRAIN OPERATOR ON THE 1611 ""A"" O/O 207 ST REPORTS A BANK OF LIGHTS IS BURNING ON TRACK # 3, THIS IS S/O THE STATION. SEQUENCE # 6  FD # 271. THE 1618 ""A"" O/O 207 ST WILL BE USED AS A TAXI.
DISPATCHER WILSON PUT OUT THIS BANK OF LIGHTS FIRE ON TRACK # 3.
",1
4/23/2008,S,175 St,BANK OF LIGHTS - INCANDESCENT,"2036 ERT MIRANDO #612535 (TK): FIRE WAS A SINGLE BANK OF LIGHTS ON TK A3 AT COL.# 1430+00. NO TK DAMAGE,TK SAFE FOR SERVICE.  BANK OF LIGHTS EXT. BY UNKNOWN WITH UNKNOWN. MOW NOTIFIED RTO.
2116 PDM HUMPHRIES #419419 (TRO/NO):  NO 3RD RAIL DAMAGE. BANK OF",1
4/24/2008,S,111 St (IRT Roosevelt Av),TIE,"2040 M/S HARVEY (TK) PASS # 371524  A TIE 100 S/O COL # 4093, ON C2 TRACK WAS SLIGHTLY SCORCHED, PUT OUT WITH WATER AND CHEMICAL BY FD. TRACK IS SAFE. RTO NOTIFIED.",1
4/25/2008,N,Fulton St (BMT Nassau St),DEBRIS,Debris ,1
4/25/2008,I,69 St,BANK OF LIGHTS - INCANDESCENT,"L/M ETIN RESP., CORRECTED THE CONDITION., REMOVED BANK OF LIGHTS.",1
4/25/2008,I,69 St,BANK OF LIGHTS - INCANDESCENT,TPI TO S/A OF LIGHT BULB ON FIRE N/B TRK.,1
4/25/2008,I,Broadway (31 St),TIE,FOUND A BURNT STONE TIE AT 15' S/O THE 10 CAR MARKER IN THE STATION ON THE NORTH BOUND TRACK. TIE IS SCORCHED AND SO IS THE PORCELEIN INSULATOR. THIS IS BY THE END APPROACH. BURNING TIE WAS PUT OUT WITH WATER. TIE WAS MINIMALLY DAMAGED AND TRACK IS SAFE F,1
